date,open,high,low,close,volume,change
2019-07-10,356.26,356.72,353.51,354.2,701200.0,-0.005782293830348628
2019-07-11,354.93,354.93,351.94,353.4,527584.0,-0.004310709153917757
2019-07-12,353.9,357.61,353.68,357.08,911954.0,0.008985589149477273
2019-07-15,357.56,357.89,354.52,355.24,570184.0,-0.006488421523660345
2019-07-16,354.81,356.63,353.78,355.46,479383.0,0.0018319664045544862
2019-07-17,354.83,355.36,352.37,352.73,463078.0,-0.005918327086210202
2019-07-18,352.51,354.59,351.77,353.86,703885.0,0.003829678590678343
2019-07-19,354.74,356.13,352.69,352.76,542336.0,-0.005581552686474652
2019-07-22,353.5,354.34,352.29,352.55,713053.0,-0.002687411598302655
2019-07-23,353.99,356.42,353.18,356.38,1470833.0,0.006751603152631391
2019-07-24,355.8,361.69,355.62,361.47,1086882.0,0.015935919055649287
2019-07-25,361.05,361.06,357.4,357.87,855062.0,-0.00880764437058581
2019-07-26,358.58,361.69,358.58,361.37,631471.0,0.007780690501422334
2019-07-29,361.14,361.57,358.99,359.63,1159776.0,-0.004181203965221219
2019-07-30,357.42,362.07,356.6,362.01,1484944.0,0.012842034581164945
2019-07-31,361.93,362.89,356.19,357.92,1478318.0,-0.011079490509214463
2019-08-01,358.43,360.28,350.79,352.4,2944593.0,-0.016823368579639064
2019-08-02,350.68,351.25,346.5,348.74,1965107.0,-0.005532109045283443
2019-08-05,342.76,343.36,335.79,338.86,1684942.0,-0.011378223830085125
2019-08-06,340.93,343.32,338.79,343.14,1820564.0,0.006482269087495907
2019-08-07,339.49,344.81,337.49,343.78,1478520.0,0.01263660196176607
2019-08-08,345.29,351.18,345.29,351.18,1842626.0,0.01705812505430214
2019-08-09,349.58,349.8,345.39,346.42,792539.0,-0.009039418731048597
2019-08-12,344.71,345.26,340.59,341.31,883124.0,-0.009863363406921694
2019-08-13,340.6,348.52,339.66,345.37,850851.0,0.014004697592483798
2019-08-14,339.57,340.11,334.67,335.0,1373768.0,-0.013458197131666499
2019-08-15,336.38,336.38,332.77,334.51,1235542.0,-0.005559189012426436
2019-08-16,336.29,342.02,336.28,341.68,1076692.0,0.016027833120223576
2019-08-19,345.29,346.28,344.49,344.86,660962.0,-0.0012453300124533198
2019-08-20,344.32,344.33,341.97,342.15,571020.0,-0.006302276951672909
2019-08-21,344.92,345.16,343.44,344.09,704684.0,-0.002406355096834167
2019-08-22,344.91,346.17,342.34,344.36,863019.0,-0.0015946188860862583
2019-08-23,342.78,344.38,334.05,334.98,2431275.0,-0.022755119901977813
2019-08-26,337.73,338.3,335.33,338.01,963262.0,0.0008290646374321876
2019-08-27,339.67,339.92,333.97,334.13,706273.0,-0.01630994789059976
2019-08-28,333.26,338.42,332.89,337.32,1312190.0,0.012182680189641729
2019-08-29,340.65,343.02,340.54,342.5,951658.0,0.005430794070160056
2019-08-30,344.16,344.61,341.31,343.14,1032259.0,-0.002963737796373892
2019-09-03,340.38,341.37,337.17,339.03,1082617.0,-0.00396615547329462
2019-09-04,342.1,343.39,341.26,343.17,1005304.0,0.0031277404267757766
2019-09-05,347.44,350.45,346.5,349.1,1246481.0,0.004777803361731594
2019-09-06,349.59,350.57,348.45,348.82,805993.0,-0.0022025801653364854
2019-09-09,350.24,351.7,348.75,351.69,1007317.0,0.00414001827318407
2019-09-10,350.63,353.75,348.96,353.75,810875.0,0.008898268830391024
2019-09-11,354.38,358.55,351.91,358.48,1752936.0,0.011569501664879573
2019-09-12,359.15,359.51,356.16,358.29,1123768.0,-0.0023945426701933925
2019-09-13,359.61,360.98,358.18,358.51,1297323.0,-0.0030588693306638375
2019-09-16,357.38,360.02,356.37,358.92,1432288.0,0.004309138731882088
2019-09-17,358.21,358.21,356.3,357.63,952652.0,-0.001619161944110952
2019-09-18,357.54,357.54,353.78,356.78,905901.0,-0.002125636292442937
2019-09-19,357.3,359.05,355.64,356.11,1204104.0,-0.0033305345647914853
2019-09-20,354.94,356.75,352.66,353.53,1578647.0,-0.003972502394771018
2019-09-23,353.0,355.69,352.01,354.4,821257.0,0.003966005665722315
2019-09-24,354.84,356.02,349.51,350.36,1060366.0,-0.012625408634877584
2019-09-25,349.91,355.04,349.84,354.45,1555598.0,0.01297476493955578
2019-09-26,353.85,353.98,351.07,352.33,955232.0,-0.004295605482549212
2019-09-27,353.52,354.58,348.5,349.92,775721.0,-0.01018329938900194
2019-09-30,350.24,353.3,350.24,352.47,1183791.0,0.006367062585655602
2019-10-01,353.54,355.19,345.3,345.75,1846123.0,-0.02203428183515308
2019-10-02,343.74,343.89,338.82,341.23,1381711.0,-0.00730203060452665
2019-10-03,340.42,343.27,336.82,343.26,1575832.0,0.008342635567827904
2019-10-04,343.71,346.65,342.47,346.52,1251497.0,0.008175496785080453
2019-10-07,345.62,347.32,343.99,344.87,871702.0,-0.0021700133094149643
2019-10-08,341.98,342.27,338.54,338.73,1316958.0,-0.009503479735657055
2019-10-09,341.4,342.4,339.44,341.02,854712.0,-0.0011130638547158626
2019-10-10,341.62,344.46,341.07,343.14,811334.0,0.004449388209121193
2019-10-11,347.3,351.94,347.05,349.03,1401496.0,0.004981284192340804
2019-10-14,347.98,348.35,346.34,347.57,424490.0,-0.0011782286338296022
2019-10-15,348.46,351.41,347.62,350.31,1111135.0,0.005309074212248243
2019-10-16,349.43,351.44,348.95,350.01,1087723.0,0.0016598460349711932
2019-10-17,351.62,353.5,350.74,352.9,1358905.0,0.003640293498663252
2019-10-18,352.03,353.51,350.68,352.62,863921.0,0.0016759935232793564
2019-10-21,355.29,356.34,354.41,354.56,998758.0,-0.0020546595738692845
2019-10-22,355.03,356.5,353.68,354.49,572840.0,-0.001520998225501968
