Date,Neg_Count
2019-09-16,161
2019-09-17,164
2019-09-18,138
2019-09-19,119
2019-09-20,176
2019-09-21,141
2019-09-22,45
2019-09-23,144
2019-09-24,128
2019-09-25,155
2019-09-26,198
2019-09-27,129
2019-09-28,136
2019-09-29,30
2019-09-30,108
2019-10-01,119
2019-10-02,180
2019-10-03,173
2019-10-04,103
2019-10-05,133
2019-10-06,34
2019-10-07,104
2019-10-08,173
2019-10-09,130
2019-10-10,155
2019-10-11,107
2019-10-12,138
2019-10-13,72
2019-10-14,67
2019-10-15,98
2019-10-16,171
2019-10-17,217
2019-10-18,104
2019-10-19,201
2019-10-20,31
2019-10-21,108
2019-10-22,205
2019-10-23,233
2019-10-24,242
2019-10-25,180
2019-10-26,214
2019-10-27,103
2019-10-28,158
2019-10-29,187
2019-10-30,238
2019-10-31,229
2019-11-01,339
2019-11-02,164
2019-11-03,74
2019-11-04,187
2019-11-05,357
2019-11-06,228
2019-11-07,182
2019-11-08,46
2019-11-09,169
2019-11-10,78
2019-11-11,96
2019-11-12,154
2019-11-13,116
2019-11-14,158
2019-11-15,165
2019-11-16,140
2019-11-17,78
2019-11-18,103
2019-11-19,130
2019-11-20,135
2019-11-21,167
2019-11-22,106
2019-11-23,196
2019-11-24,39
2019-11-25,84
2019-11-26,133
2019-11-27,142
2019-11-28,90
2019-11-29,57
2019-11-30,108
2019-12-01,93
2019-12-02,141
2019-12-03,128
2019-12-04,139
2019-12-05,189
2019-12-06,277
2019-12-07,163
2019-12-08,42
2019-12-09,78
2019-12-10,162
2019-12-11,110
2019-12-12,108
2019-12-13,99
2019-12-14,66
2019-12-15,64
2019-12-16,152
2019-12-17,138
2019-12-18,115
2019-12-19,113
2019-12-20,129
2019-12-21,42
2019-12-22,57
2019-12-23,125
2019-12-24,55
2019-12-25,52
2019-12-26,80
2019-12-27,58
2019-12-28,100
2019-12-29,107
2019-12-30,78
2019-12-31,136
2020-01-01,105
2020-01-02,134
2020-01-03,191
2020-01-04,99
2020-01-05,41
2020-01-06,117
2020-01-07,124
2020-01-08,223
2020-01-09,252
2020-01-10,171
2020-01-11,222
2020-01-12,94
2020-01-13,144
2020-01-14,236
2020-01-15,189
2020-01-16,220
2020-01-17,240
2020-01-18,157
2020-01-19,129
2020-01-20,168
2020-01-21,199
2020-01-22,225
2020-01-23,208
2020-01-24,282
2020-01-25,190
2020-01-26,194
2020-01-27,374
2020-01-28,255
2020-01-29,298
2020-01-30,236
2020-01-31,296
2020-02-01,361
2020-02-02,237
2020-02-03,351
2020-02-04,443
2020-02-05,232
2020-02-06,233
2020-02-07,252
2020-02-08,247
2020-02-09,247
2020-02-10,210
2020-02-11,366
2020-02-12,337
2020-02-13,381
2020-02-14,339
2020-02-15,202
2020-02-16,136
2020-02-17,222
2020-02-18,487
2020-02-19,328
2020-02-20,398
2020-02-21,495
2020-02-22,363
2020-02-23,221
2020-02-24,484
2020-02-25,484
2020-02-26,499
2020-02-27,765
2020-02-28,882
2020-02-29,799
2020-03-01,627
2020-03-02,601
2020-03-03,771
2020-03-04,525
2020-03-05,469
2020-03-06,652
2020-03-07,955
2020-03-08,416
