Date,Count
2019-06-02,65
2019-06-03,91
2019-06-04,46
2019-06-05,67
2019-06-06,90
2019-06-07,75
2019-06-08,153
2019-06-09,72
2019-06-10,62
2019-06-11,54
2019-06-12,101
2019-06-13,44
2019-06-14,77
2019-06-15,100
2019-06-16,32
2019-06-17,60
2019-06-18,52
2019-06-19,58
2019-06-20,136
2019-06-21,50
2019-06-22,89
2019-06-23,15
2019-06-24,54
2019-06-25,43
2019-06-26,48
2019-06-27,45
2019-06-28,40
2019-06-29,113
2019-06-30,95
2019-07-01,122
2019-07-02,36
2019-07-03,71
2019-07-04,29
2019-07-05,48
2019-07-06,82
2019-07-07,12
2019-07-08,70
2019-07-09,56
2019-07-10,103
2019-07-11,64
2019-07-12,74
2019-07-13,38
2019-07-14,36
2019-07-15,42
2019-07-16,69
2019-07-17,80
2019-07-18,79
2019-07-19,51
2019-07-20,178
2019-07-21,54
2019-07-22,60
2019-07-23,77
2019-07-24,106
2019-07-25,130
2019-07-26,85
2019-07-27,102
2019-07-28,42
2019-07-29,54
2019-07-30,66
2019-07-31,78
2019-08-01,95
2019-08-02,97
2019-08-03,141
2019-08-04,29
2019-08-05,53
2019-08-06,118
2019-08-07,85
2019-08-08,93
2019-08-09,106
2019-08-10,132
2019-08-11,74
2019-08-12,67
2019-08-13,105
2019-08-14,304
2019-08-15,168
2019-08-16,155
2019-08-17,157
2019-08-18,68
2019-08-19,106
2019-08-20,113
2019-08-21,104
2019-08-22,122
2019-08-23,138
2019-08-24,182
2019-08-25,90
2019-08-26,93
2019-08-27,109
2019-08-28,74
2019-08-29,103
2019-08-30,81
2019-08-31,136
2019-09-01,104
2019-09-02,53
2019-09-03,46
2019-09-04,103
2019-09-05,81
2019-09-06,85
2019-09-07,94
2019-09-08,44
2019-09-09,112
2019-09-10,111
2019-09-11,86
2019-09-12,81
2019-09-13,87
2019-09-14,115
2019-09-15,21
2019-09-16,90
2019-09-17,119
2019-09-18,61
2019-09-19,58
2019-09-20,112
2019-09-21,134
2019-09-22,32
2019-09-23,75
2019-09-24,60
2019-09-25,100
2019-09-26,125
2019-09-27,56
2019-09-28,96
2019-09-29,36
2019-09-30,71
2019-10-01,70
2019-10-02,90
2019-10-03,82
2019-10-04,74
2019-10-05,85
2019-10-06,26
2019-10-07,67
2019-10-08,112
2019-10-09,70
2019-10-10,72
2019-10-11,68
2019-10-12,131
2019-10-13,63
2019-10-14,31
2019-10-15,57
2019-10-16,107
2019-10-17,116
2019-10-18,65
2019-10-19,165
2019-10-20,20
2019-10-21,85
2019-10-22,132
2019-10-23,103
2019-10-24,91
2019-10-25,80
2019-10-26,128
2019-10-27,80
2019-10-28,70
2019-10-29,69
2019-10-30,113
2019-10-31,76
2019-11-01,116
2019-11-02,135
2019-11-03,61
2019-11-04,110
2019-11-05,174
2019-11-06,116
2019-11-07,131
2019-11-08,59
2019-11-09,136
2019-11-10,59
2019-11-11,86
2019-11-12,114
2019-11-13,82
2019-11-14,103
2019-11-15,113
2019-11-16,102
2019-11-17,59
2019-11-18,120
2019-11-19,103
2019-11-20,105
2019-11-21,86
2019-11-22,95
2019-11-23,180
2019-11-24,10
2019-11-25,87
2019-11-26,104
2019-11-27,101
2019-11-28,68
2019-11-29,69
2019-11-30,142
2019-12-01,50
2019-12-02,72
2019-12-03,110
2019-12-04,113
2019-12-05,147
2019-12-06,223
2019-12-07,165
2019-12-08,33
2019-12-09,54
2019-12-10,93
2019-12-11,110
2019-12-12,58
2019-12-13,69
2019-12-14,63
2019-12-15,35
2019-12-16,123
2019-12-17,104
2019-12-18,81
2019-12-19,82
2019-12-20,95
2019-12-21,42
2019-12-22,28
2019-12-23,42
2019-12-24,45
2019-12-25,37
2019-12-26,75
2019-12-27,56
2019-12-28,83
2019-12-29,88
2019-12-30,63
2019-12-31,172
2020-01-01,89
2020-01-02,115
2020-01-03,105
2020-01-04,90
2020-01-05,39
2020-01-06,95
2020-01-07,108
2020-01-08,124
2020-01-09,168
2020-01-10,129
2020-01-11,209
2020-01-12,87
2020-01-13,114
2020-01-14,188
2020-01-15,127
2020-01-16,175
2020-01-17,162
2020-01-18,205
2020-01-19,126
2020-01-20,182
2020-01-21,147
2020-01-22,191
2020-01-23,149
2020-01-24,249
2020-01-25,202
2020-01-26,148
2020-01-27,204
2020-01-28,233
2020-01-29,231
2020-01-30,207
2020-01-31,221
2020-02-01,299
2020-02-02,166
2020-02-03,232
2020-02-04,348
2020-02-05,199
2020-02-06,207
2020-02-07,243
2020-02-08,211
2020-02-09,149
2020-02-10,189
2020-02-11,320
2020-02-12,286
2020-02-13,301
2020-02-14,252
2020-02-15,216
2020-02-16,144
2020-02-17,197
2020-02-18,331
2020-02-19,269
2020-02-20,318
2020-02-21,474
2020-02-22,309
2020-02-23,194
2020-02-24,381
2020-02-25,342
2020-02-26,371
2020-02-27,511
2020-02-28,628
2020-02-29,591
2020-03-01,484
2020-03-02,421
2020-03-03,536
2020-03-04,330
2020-03-05,338
2020-03-06,436
2020-03-07,698
2020-03-08,357
2020-03-09,561
2020-03-10,498
2020-03-11,467
2020-03-12,746
2020-03-13,782
2020-03-14,816
2020-03-15,752
2020-03-16,1033
2020-03-17,677
2020-03-18,893
2020-03-19,670
2020-03-20,810
2020-03-21,564
2020-03-22,638
