day,favorites
2019-01-13,942329
2019-01-14,1426206
2019-01-15,971503
2019-01-16,321232
2019-01-17,297911
2019-01-18,1301787
2019-01-19,1215569
2019-01-20,1128421
2019-01-21,1531222
2019-01-22,1231395
2019-01-23,997145
2019-01-24,995543
2019-01-25,429352
2019-01-26,1232886
2019-01-27,907008
2019-01-28,837308
2019-01-29,443208
2019-01-30,1009294
2019-01-31,1341093
2019-02-01,1042088
2019-02-02,121792
2019-02-03,570526
2019-02-04,101350
2019-02-05,413462
2019-02-06,291502
2019-02-07,607106
2019-02-08,1033133
2019-02-09,962043
2019-02-10,1111416
2019-02-11,893887
2019-02-12,506869
2019-02-13,467447
2019-02-14,753331
2019-02-15,451575
2019-02-16,199362
2019-02-17,1426038
2019-02-18,979021
2019-02-19,1173355
2019-02-20,1087930
2019-02-21,639053
2019-02-22,560220
2019-02-23,448505
2019-02-24,1329801
2019-02-25,1281802
2019-02-26,609135
2019-02-27,917585
2019-02-28,125530
2019-03-01,1222295
2019-03-02,194869
2019-03-03,811071
2019-03-04,830965
2019-03-05,1367319
2019-03-06,489165
2019-03-07,527685
2019-03-08,1154677
2019-03-09,559055
2019-03-10,490501
2019-03-11,366490
2019-03-12,444071
2019-03-13,1401800
2019-03-14,1042503
2019-03-15,1113922
2019-03-16,732157
2019-03-17,1141320
2019-03-18,1234914
2019-03-19,931401
2019-03-20,932299
2019-03-21,661133
2019-03-22,819497
2019-03-24,1078373
2019-03-25,548016
2019-03-26,815940
2019-03-27,753783
2019-03-28,1241762
2019-03-29,1331236
2019-03-30,500050
2019-03-31,330908
2019-04-01,497974
2019-04-02,1175644
2019-04-03,348270
2019-04-04,1004464
2019-04-05,1061314
2019-04-06,1096824
2019-04-07,395761
2019-04-08,569966
2019-04-09,941174
2019-04-10,770061
2019-04-11,759864
2019-04-12,980196
2019-04-13,995920
2019-04-14,892146
2019-04-15,1969130
2019-04-16,446565
2019-04-17,745098
2019-04-18,1361146
2019-04-19,989146
2019-04-20,775653
2019-04-21,1287153
2019-04-22,1097243
2019-04-23,1413249
2019-04-24,1342193
2019-04-25,680703
2019-04-26,830502
2019-04-27,580538
2019-04-28,564257
2019-04-29,801554
2019-04-30,937582
2019-05-01,688418
2019-05-02,638328
2019-05-03,1349242
2019-05-04,689531
2019-05-05,803451
2019-05-06,1270230
2019-05-07,204634
2019-05-08,1576203
2019-05-09,404375
2019-05-10,1288873
2019-05-11,545699
2019-05-12,1175878
2019-05-13,1709184
2019-05-14,1066313
2019-05-15,514019
2019-05-16,343770
2019-05-17,1365888
2019-05-18,299636
2019-05-19,1353097
2019-05-20,959035
2019-05-21,873100
2019-05-22,1546961
2019-05-23,1085496
2019-05-24,1679055
2019-05-25,718814
2019-05-26,940148
2019-05-27,988868
2019-05-28,566276
2019-05-29,644493
2019-05-30,1449813
2019-05-31,1015394
2019-06-01,610827
2019-06-02,939224
2019-06-03,1267241
2019-06-04,334269
2019-06-05,1060606
2019-06-06,745587
2019-06-07,1028820
2019-06-08,1154976
2019-06-09,1108950
2019-06-10,752543
2019-06-11,1107892
2019-06-12,534285
2019-06-13,1752436
2019-06-14,614857
2019-06-15,734604
2019-06-16,1636655
2019-06-17,475597
2019-06-18,1098008
2019-06-19,1168488
2019-06-20,552969
2019-06-21,867300
2019-06-22,1190433
2019-06-23,335058
2019-06-24,563084
2019-06-25,659232
2019-06-26,1492496
2019-06-27,1366133
2019-06-28,865351
2019-06-29,544009
2019-06-30,409984
2019-07-01,1317964
2019-07-02,1096739
2019-07-03,1810588
2019-07-04,1169154
2019-07-05,872028
2019-07-06,634136
2019-07-07,969382
2019-07-08,685456
2019-07-09,860676
2019-07-10,1279976
2019-07-11,1657002
2019-07-12,1146969
2019-07-13,751262
2019-07-14,994825
2019-07-15,2348843
2019-07-16,1450488
2019-07-17,1614409
2019-07-18,1046211
2019-07-19,1712780
2019-07-20,722802
2019-07-21,1014826
2019-07-22,1616309
2019-07-23,1539406
2019-07-24,1924679
2019-07-25,1869345
2019-07-26,1187667
2019-07-27,1240289
2019-07-28,1883387
2019-07-29,1523329
2019-07-30,1670728
2019-07-31,1237497
2019-08-01,1046946
2019-08-02,1722956
2019-08-03,540891
2019-08-04,1036251
2019-08-05,872292
2019-08-06,1044782
2019-08-07,1544643
2019-08-08,1413602
2019-08-09,461308
2019-08-10,1026400
2019-08-11,452227
2019-08-12,344523
2019-08-13,1082547
2019-08-14,1099236
2019-08-15,1087652
2019-08-16,1275699
2019-08-17,555243
2019-08-18,1045316
2019-08-19,939052
2019-08-20,1327078
2019-08-21,1233104
2019-08-22,591380
2019-08-23,1351913
2019-08-24,1207358
2019-08-25,1158366
2019-08-26,789919
2019-08-27,1142610
2019-08-28,1176890
2019-08-29,869343
2019-08-30,985365
2019-08-31,1130486
2019-09-01,625165
2019-09-02,1028073
2019-09-03,685699
2019-09-04,920846
2019-09-05,1038312
2019-09-06,1163263
2019-09-07,1071107
2019-09-08,429332
2019-09-09,1412409
2019-09-10,632794
2019-09-11,1446796
2019-09-12,865484
2019-09-13,637695
2019-09-14,1013669
2019-09-15,996691
2019-09-16,1386048
2019-09-17,545522
2019-09-18,950009
2019-09-19,600530
2019-09-20,572634
2019-09-21,884712
2019-09-22,1159439
2019-09-23,802665
2019-09-24,1445173
2019-09-25,1337250
2019-09-26,1194995
2019-09-27,1559560
2019-09-28,1303558
2019-09-29,1030892
2019-09-30,2227003
2019-10-01,1434694
2019-10-02,1869828
2019-10-03,1464759
2019-10-04,2048128
2019-10-05,1883048
2019-10-06,1714860
2019-10-07,1288383
2019-10-08,1259436
2019-10-09,1961940
2019-10-10,1286142
2019-10-11,963763
2019-10-12,1184252
2019-10-13,1347342
2019-10-14,1891897
2019-10-15,967712
2019-10-16,1611376
2019-10-17,1600257
2019-10-18,1196087
