Date,Pos_Count
2019-04-08,129
2019-04-09,44
2019-04-10,89
2019-04-11,92
2019-04-12,104
2019-04-13,119
2019-04-14,81
2019-04-15,268
2019-04-16,138
2019-04-17,175
2019-04-18,77
2019-04-19,53
2019-04-20,152
2019-04-21,32
2019-04-22,157
2019-04-23,139
2019-04-24,138
2019-04-25,128
2019-04-26,94
2019-04-27,80
2019-04-28,131
2019-04-29,216
2019-04-30,78
2019-05-01,78
2019-05-02,107
2019-05-03,83
2019-05-04,72
2019-05-05,62
2019-05-06,180
2019-05-07,94
2019-05-08,111
2019-05-09,121
2019-05-10,87
2019-05-11,143
2019-05-12,59
2019-05-13,47
2019-05-14,116
2019-05-15,135
2019-05-16,90
2019-05-17,94
2019-05-18,44
2019-05-19,59
2019-05-20,44
2019-05-21,77
2019-05-22,133
2019-05-23,114
2019-05-24,132
2019-05-25,163
2019-05-26,55
2019-05-27,55
2019-05-28,67
2019-05-29,130
2019-05-30,79
2019-05-31,142
2019-06-01,241
2019-06-02,92
2019-06-03,112
2019-06-04,87
2019-06-05,113
2019-06-06,131
2019-06-07,118
2019-06-08,152
2019-06-09,87
2019-06-10,93
2019-06-11,98
2019-06-12,126
2019-06-13,63
2019-06-14,90
2019-06-15,111
2019-06-16,68
2019-06-17,64
2019-06-18,76
2019-06-19,121
2019-06-20,190
2019-06-21,84
2019-06-22,151
2019-06-23,35
2019-06-24,76
2019-06-25,79
2019-06-26,70
2019-06-27,84
2019-06-28,83
2019-06-29,174
2019-06-30,120
2019-07-01,171
2019-07-02,65
2019-07-03,105
2019-07-04,28
2019-07-05,65
2019-07-06,111
2019-07-07,30
2019-07-08,66
2019-07-09,103
2019-07-10,111
2019-07-11,89
2019-07-12,69
2019-07-13,58
2019-07-14,44
2019-07-15,55
2019-07-16,130
2019-07-17,149
2019-07-18,130
2019-07-19,103
2019-07-20,283
2019-07-21,82
2019-07-22,116
2019-07-23,120
2019-07-24,140
2019-07-25,163
2019-07-26,111
2019-07-27,163
2019-07-28,72
2019-07-29,101
2019-07-30,74
2019-07-31,116
2019-08-01,142
2019-08-02,129
2019-08-03,186
2019-08-04,58
2019-08-05,95
2019-08-06,172
2019-08-07,138
2019-08-08,166
2019-08-09,152
2019-08-10,165
2019-08-11,94
2019-08-12,97
2019-08-13,166
2019-08-14,445
2019-08-15,214
2019-08-16,210
2019-08-17,186
2019-08-18,88
2019-08-19,148
2019-08-20,192
2019-08-21,158
2019-08-22,185
2019-08-23,218
2019-08-24,220
2019-08-25,82
2019-08-26,155
2019-08-27,176
2019-08-28,167
2019-08-29,218
2019-08-30,168
2019-08-31,184
2019-09-01,98
2019-09-02,56
2019-09-03,104
2019-09-04,134
2019-09-05,137
2019-09-06,132
2019-09-07,149
2019-09-08,58
2019-09-09,166
2019-09-10,151
2019-09-11,164
2019-09-12,182
2019-09-13,142
2019-09-14,199
2019-09-15,35
2019-09-16,204
2019-09-17,203
2019-09-18,102
2019-09-19,119
2019-09-20,192
2019-09-21,145
2019-09-22,56
2019-09-23,109
2019-09-24,114
2019-09-25,171
2019-09-26,217
2019-09-27,145
2019-09-28,135
2019-09-29,53
2019-09-30,78
2019-10-01,123
2019-10-02,156
2019-10-03,175
2019-10-04,83
2019-10-05,134
2019-10-06,25
2019-10-07,77
2019-10-08,145
2019-10-09,131
2019-10-10,147
2019-10-11,96
2019-10-12,167
2019-10-13,88
2019-10-14,53
2019-10-15,125
2019-10-16,167
2019-10-17,272
2019-10-18,173
2019-10-19,232
2019-10-20,29
2019-10-21,106
2019-10-22,244
2019-10-23,289
2019-10-24,306
2019-10-25,210
2019-10-26,288
2019-10-27,116
2019-10-28,158
2019-10-29,225
2019-10-30,298
2019-10-31,267
2019-11-01,429
2019-11-02,239
2019-11-03,82
2019-11-04,188
2019-11-05,308
2019-11-06,196
2019-11-07,161
2019-11-08,81
2019-11-09,218
2019-11-10,72
2019-11-11,123
2019-11-12,164
2019-11-13,153
2019-11-14,142
2019-11-15,212
2019-11-16,164
2019-11-17,86
2019-11-18,136
2019-11-19,184
2019-11-20,199
2019-11-21,154
2019-11-22,127
2019-11-23,271
2019-11-24,39
2019-11-25,128
2019-11-26,159
2019-11-27,157
2019-11-28,116
2019-11-29,111
2019-11-30,219
2019-12-01,85
2019-12-02,129
2019-12-03,121
2019-12-04,150
2019-12-05,240
2019-12-06,334
2019-12-07,230
2019-12-08,54
2019-12-09,83
2019-12-10,148
2019-12-11,138
2019-12-12,131
2019-12-13,101
2019-12-14,99
2019-12-15,63
2019-12-16,197
2019-12-17,164
2019-12-18,155
2019-12-19,145
2019-12-20,121
2019-12-21,65
2019-12-22,66
2019-12-23,148
2019-12-24,82
2019-12-25,75
2019-12-26,138
2019-12-27,84
2019-12-28,89
2019-12-29,113
2019-12-30,89
2019-12-31,149
2020-01-01,151
2020-01-02,153
2020-01-03,205
2020-01-04,125
2020-01-05,47
2020-01-06,156
2020-01-07,172
2020-01-08,210
2020-01-09,253
2020-01-10,222
2020-01-11,238
2020-01-12,119
2020-01-13,188
2020-01-14,362
2020-01-15,214
2020-01-16,305
2020-01-17,278
2020-01-18,309
2020-01-19,190
2020-01-20,272
2020-01-21,228
2020-01-22,273
2020-01-23,250
2020-01-24,370
2020-01-25,255
2020-01-26,194
2020-01-27,348
2020-01-28,285
2020-01-29,324
2020-01-30,296
2020-01-31,333
2020-02-01,339
2020-02-02,208
2020-02-03,361
2020-02-04,516
2020-02-05,329
2020-02-06,337
2020-02-07,352
2020-02-08,332
2020-02-09,274
2020-02-10,377
2020-02-11,498
2020-02-12,453
2020-02-13,423
2020-02-14,477
2020-02-15,293
2020-02-16,233
2020-02-17,260
2020-02-18,501
2020-02-19,478
2020-02-20,529
2020-02-21,728
2020-02-22,472
2020-02-23,203
2020-02-24,466
2020-02-25,464
2020-02-26,483
2020-02-27,691
2020-02-28,806
2020-02-29,655
2020-03-01,539
2020-03-02,470
2020-03-03,622
2020-03-04,537
2020-03-05,432
2020-03-06,542
2020-03-07,868
2020-03-08,431
2020-03-09,633
2020-03-10,517
2020-03-11,518
2020-03-12,838
2020-03-13,854
2020-03-14,872
2020-03-15,646
2020-03-16,1052
2020-03-17,758
2020-03-18,983
2020-03-19,846
2020-03-20,981
2020-03-21,612
2020-03-22,671
2020-03-23,741
2020-03-24,774
2020-03-25,688
2020-03-26,659
2020-03-27,671
2020-03-28,465
2020-03-29,358
2020-03-30,679
2020-03-31,577
2020-04-01,482
2020-04-02,529
2020-04-03,554
2020-04-04,327
2020-04-05,271
2020-04-06,501
2020-04-07,570
