date,Sent_Count,favorites,Count,sentcount1day,favcount1day,econcount1day,job_change1day,growthgap1day,change1day
2019-10-07,5,1288383,1,-3.0,1434694.0,1.0,195.0,-0.5,-0.015113857728219254
2019-10-08,4,1259436,5,5.0,1288383.0,1.0,221.0,-0.5,-0.0013289262957032854
2019-10-11,-3,963763,4,4.0,1259436.0,5.0,221.0,-0.5,-0.008624244090159591
2019-10-17,-3,1600257,1,-3.0,963763.0,4.0,221.0,-0.5,3.375299557832688e-05
2019-10-18,6,1196087,1,-3.0,1600257.0,1.0,221.0,-0.5,-0.0013347570742126072
2019-10-22,-14,929634,2,6.0,1196087.0,1.0,221.0,-0.5,-0.0024105259633732984
2019-10-23,11,1193459,3,-14.0,929634.0,2.0,221.0,-0.5,-0.005223235078847539
2019-10-25,2,1208800,1,11.0,1193459.0,3.0,221.0,-0.5,0.003849630100759807
2019-11-01,3,2213314,1,2.0,1208800.0,1.0,221.0,-0.5,0.006205377994261739
2019-11-04,-7,1514627,2,3.0,2213314.0,1.0,195.0,0.7,0.004001049455594813
2019-11-06,-2,1001507,2,-7.0,1514627.0,2.0,195.0,0.7,-0.001559200909533923
2019-11-12,1,624508,1,-2.0,1001507.0,2.0,195.0,0.7,0.00022799075008973077
2019-11-13,-9,783710,1,1.0,624508.0,1.0,195.0,0.7,0.0008097165991902834
2019-11-18,-4,774768,2,-9.0,783710.0,1.0,195.0,0.7,0.003864765678282607
2019-11-19,-15,487043,1,-4.0,774768.0,2.0,195.0,0.7,0.0015728822264308704
2019-11-22,-6,803417,1,-15.0,487043.0,1.0,195.0,0.7,-0.002398618395804017
2019-11-26,-1,687302,2,-6.0,803417.0,1.0,195.0,0.7,-0.0004178854993731572
2019-12-02,11,1743763,3,-1.0,687302.0,2.0,195.0,0.7,0.002137774799782901
2019-12-05,9,1068669,1,11.0,1743763.0,3.0,195.0,0.5,-0.009377284719793984
2019-12-06,-3,1180678,2,9.0,1068669.0,1.0,195.0,0.5,-0.0006725811100792247
2019-12-10,21,1122395,5,-3.0,1180678.0,2.0,234.0,0.5,0.002387622564624984
2019-12-11,-16,760424,1,21.0,1122395.0,5.0,234.0,0.5,-0.0009240966158945269
