day,favorites
2019-01-18,94
2019-01-19,58
2019-01-20,45
2019-01-21,35
2019-01-22,62
2019-01-23,58
2019-01-24,77
2019-01-25,64
2019-01-26,39
2019-01-27,32
2019-01-28,74
2019-01-29,102
2019-01-30,76
2019-01-31,121
2019-02-01,61
2019-02-02,43
2019-02-03,26
2019-02-04,68
2019-02-05,93
2019-02-06,126
2019-02-07,60
2019-02-08,74
2019-02-09,27
2019-02-10,33
2019-02-11,65
2019-02-12,65
2019-02-13,73
2019-02-14,79
2019-02-15,58
2019-02-16,5398
2019-02-17,1453
2019-02-18,2767
2019-02-19,1358
2019-02-20,656
2019-02-21,3353
2019-02-22,1960
2019-02-23,735
2019-02-24,903
2019-02-25,1096
2019-02-26,6074
2019-02-27,806
2019-02-28,792
2019-03-01,1185
2019-03-02,262
2019-03-03,387
2019-03-04,821
2019-03-05,767
2019-03-06,1086
2019-03-07,369
2019-03-08,913
2019-03-09,4424
2019-03-10,474
2019-03-11,1055
2019-03-12,1155
2019-03-13,1737
2019-03-14,530
2019-03-15,548
2019-03-16,457
2019-03-17,453
2019-03-18,3139
2019-03-19,2583
2019-03-20,3200
2019-03-21,1043
2019-03-22,1069
2019-03-23,1744
2019-03-24,2076
2019-03-25,1047
2019-03-26,4756
2019-03-27,909
2019-03-28,472
2019-03-29,535
2019-03-30,219
2019-03-31,277
2019-04-01,48063
2019-04-02,697
2019-04-03,469
2019-04-04,2104
2019-04-05,459
2019-04-06,574
2019-04-07,649
2019-04-08,2515
2019-04-09,535
2019-04-10,955
2019-04-11,901
2019-04-12,820
2019-04-13,572
2019-04-14,586
2019-04-15,2600
2019-04-16,1022
2019-04-17,579
2019-04-18,422
2019-04-19,290
2019-04-20,402
2019-04-21,871
2019-04-22,1190
2019-04-23,1077
2019-04-24,999
2019-04-25,1255
2019-04-26,408
2019-04-27,728
2019-04-28,2546
2019-04-29,1836
2019-04-30,1210
2019-05-01,1316
2019-05-02,1317
2019-05-03,1966
2019-05-04,5982
2019-05-05,692
2019-05-06,960
2019-05-07,922
2019-05-08,646
2019-05-09,947
2019-05-10,946
2019-05-11,675
2019-05-12,1176
2019-05-13,633
2019-05-14,424
2019-05-15,1759
2019-05-16,1229
2019-05-17,2881
2019-05-18,379
2019-05-19,332
2019-05-20,601
2019-05-21,5582
2019-05-22,6887
2019-05-23,2920
2019-05-24,11066
2019-05-25,7646
2019-05-26,2621
2019-05-27,4508
2019-05-28,4911
2019-05-29,6795
2019-05-30,9027
2019-05-31,6157
2019-06-01,6050
2019-06-02,4305
2019-06-03,909
2019-06-04,858
2019-06-05,5030
2019-06-06,2984
2019-06-07,9201
2019-06-08,16333
2019-06-09,6273
2019-06-10,11214
2019-06-11,2992
2019-06-12,1365
2019-06-13,1153
2019-06-14,758
2019-06-15,1743
2019-06-16,2768
2019-06-17,1675
2019-06-18,5818
2019-06-19,5064
2019-06-20,2390
2019-06-21,3068
2019-06-22,3030
2019-06-23,5348
2019-06-24,2190
2019-06-25,8244
2019-06-26,4893
2019-06-27,2787
2019-06-28,2725
2019-06-29,47878
2019-06-30,19375
2019-07-01,15976
2019-07-02,2270
2019-07-03,14288
2019-07-04,4928
2019-07-05,6495
2019-07-06,1887
2019-07-07,3675
2019-07-08,4418
2019-07-09,11326
2019-07-10,1963
2019-07-11,4090
2019-07-12,880
2019-07-13,3347
2019-07-14,4254
2019-07-15,6347
2019-07-16,7639
2019-07-17,6762
2019-07-18,2079
2019-07-19,5355
2019-07-20,5002
2019-07-21,1442
2019-07-22,1874
2019-07-23,3468
2019-07-24,8357
2019-07-25,2339
2019-07-26,2249
2019-07-27,63226
2019-07-28,3103
2019-07-29,1068
2019-07-30,2644
2019-07-31,4067
2019-08-01,6705
2019-08-02,3340
2019-08-03,5696
2019-08-04,1896
2019-08-05,8565
2019-08-06,5078
2019-08-07,9423
2019-08-08,6009
2019-08-09,1957
2019-08-10,8428
2019-08-11,4656
2019-08-12,8299
2019-08-13,14922
2019-08-14,17206
2019-08-15,6566
2019-08-16,13729
2019-08-17,7794
2019-08-18,4003
2019-08-19,2963
2019-08-20,7623
2019-08-21,6265
2019-08-22,3923
2019-08-23,11420
2019-08-24,16396
2019-08-25,4898
2019-08-26,3958
2019-08-27,1950
2019-08-28,6441
2019-08-29,4643
2019-08-30,2266
2019-08-31,791
2019-09-01,3259
2019-09-02,3392
2019-09-03,4129
2019-09-04,4137
2019-09-05,3120
2019-09-06,5263
2019-09-07,4091
2019-09-08,2154
2019-09-09,3945
2019-09-10,2016
2019-09-11,10825
2019-09-12,5336
2019-09-13,1358
2019-09-14,782
2019-09-15,989
2019-09-16,2354
2019-09-17,5432
2019-09-18,1751
2019-09-19,1145
2019-09-20,7173
2019-09-21,1990
2019-09-22,8044
2019-09-23,7823
2019-09-24,5141
2019-09-25,2876
2019-09-26,5677
2019-09-27,4203
2019-09-28,1626
2019-09-29,2078
2019-09-30,2301
2019-10-01,4220
2019-10-02,7328
2019-10-03,3626
2019-10-04,1121
2019-10-05,4187
2019-10-06,4888
2019-10-07,2943
2019-10-08,2800
2019-10-09,6927
2019-10-10,4276
2019-10-11,3088
2019-10-12,1022
2019-10-13,6820
2019-10-14,1799
2019-10-15,5178
2019-10-16,2625
2019-10-17,2690
2019-10-18,2066
2019-10-19,10402
2019-10-20,6368
2019-10-21,2283
2019-10-22,2828
2019-10-23,8477
2019-10-24,5779
2019-10-25,7791
2019-10-26,2888
2019-10-27,5168
2019-10-28,2075
2019-10-29,12124
2019-10-30,6171
2019-10-31,7671
2019-11-01,5293
2019-11-02,7158
2019-11-03,3041
2019-11-04,6529
2019-11-05,23999
2019-11-06,26969
2019-11-07,3546
2019-11-08,84
2019-11-09,79
2019-11-10,71
2019-11-11,103
2019-11-12,123
2019-11-13,109
2019-11-14,141
2019-11-15,131
2019-11-16,74
2019-11-17,75
2019-11-18,88
2019-11-19,374
2019-11-20,195
2019-11-21,128
2019-11-22,151
