date,Neg_Count,Pos_Count,favorites,Count
2018-10-22,108,98,85,7
2018-10-23,122,181,118,16
2018-10-24,168,265,190,40
2018-10-25,125,100,154,16
2018-10-26,105,108,101,12
2018-10-29,100,88,163,15
2018-10-30,121,151,105,11
2018-10-31,91,85,97,9
2018-11-01,38,61,91,2
2018-11-02,78,69,70,10
2018-11-05,51,97,55,3
2018-11-06,38,51,71,3
2018-11-07,40,94,97,10
2018-11-08,85,113,89,5
2018-11-09,158,138,80,11
2018-11-12,72,79,88,12
2018-11-13,107,93,91,13
2018-11-14,94,93,80,9
2018-11-15,75,74,96,10
2018-11-16,68,76,100,11
2018-11-19,59,38,84,4
2018-11-20,61,68,97,9
2018-11-21,72,68,66,5
2018-11-23,26,30,54,7
2018-11-26,74,126,55,12
2018-11-27,133,148,49,16
2018-11-28,58,52,80,11
2018-11-29,54,56,54,8
2018-11-30,82,76,58,12
2018-12-03,63,64,84,6
2018-12-04,85,93,73,11
2018-12-06,150,110,91,20
2018-12-07,80,78,82,15
2018-12-10,65,52,57,11
2018-12-11,85,98,81,9
2018-12-12,77,63,84,7
2018-12-13,107,96,78,9
2018-12-14,86,77,65,7
2018-12-17,103,76,56,22
2018-12-18,69,74,60,8
2018-12-19,98,70,80,11
2018-12-20,96,111,86,12
2018-12-21,88,67,83,8
2018-12-24,125,89,84,19
2018-12-26,65,52,81,11
2018-12-27,93,76,82,9
2018-12-28,59,72,73,9
2018-12-31,58,53,53,10
2019-01-02,298,294,80,45
2019-01-03,157,89,97,12
2019-01-04,86,82,92,9
2019-01-08,74,106,65,5
2019-01-09,98,88,70,9
2019-01-10,79,85,72,8
2019-01-11,54,49,58,9
2019-01-14,80,46,47,9
2019-01-15,76,66,76,13
2019-01-16,99,88,72,9
2019-01-17,98,85,93,11
2019-01-18,213,211,94,20
2019-01-22,83,87,62,11
2019-01-23,99,101,58,7
2019-01-24,117,133,77,13
2019-01-25,106,76,64,8
2019-01-28,95,57,74,9
2019-01-29,111,64,102,9
2019-01-30,85,92,76,7
2019-01-31,80,120,121,20
2019-02-01,78,127,61,8
2019-02-04,75,99,68,16
2019-02-05,93,143,93,20
2019-02-06,118,163,126,18
2019-02-07,114,155,60,15
2019-02-08,131,111,74,10
2019-02-11,112,158,65,19
2019-02-12,86,113,65,9
2019-02-13,89,116,73,12
2019-02-14,88,99,79,24
2019-02-15,126,119,58,14
2019-02-19,150,124,1358,12
2019-02-20,125,131,656,11
2019-02-21,68,66,3353,4
2019-02-22,94,101,1960,9
2019-02-25,72,74,1096,8
2019-02-26,70,68,6074,7
2019-02-27,92,92,806,8
2019-02-28,66,59,792,9
2019-03-01,42,49,1185,9
2019-03-04,76,127,821,20
2019-03-05,42,75,767,21
2019-03-06,58,65,1086,12
2019-03-07,74,61,369,11
2019-03-08,78,86,913,14
2019-03-11,74,48,1055,7
2019-03-12,102,82,1155,4
2019-03-13,106,70,1737,12
2019-03-14,70,62,530,11
2019-03-15,91,76,548,6
2019-03-18,104,95,3139,13
2019-03-19,108,133,2583,15
2019-03-20,37,39,3200,2
2019-03-21,101,113,1043,8
2019-03-22,97,88,1069,12
2019-03-25,48,72,1047,15
2019-03-26,79,64,4756,13
2019-03-27,54,72,909,12
2019-03-28,47,43,472,4
2019-03-29,61,67,535,12
2019-04-01,68,135,48063,13
2019-04-02,43,56,697,9
2019-04-03,75,94,469,10
2019-04-04,57,71,2104,6
2019-04-05,25,45,459,4
2019-04-08,86,129,2515,16
2019-04-09,51,44,535,7
2019-04-10,80,89,955,13
2019-04-11,70,92,901,16
2019-04-12,76,104,820,4
2019-04-15,195,268,2600,21
2019-04-16,99,138,1022,18
2019-04-17,117,175,579,17
2019-04-18,76,77,422,17
2019-04-22,131,157,1190,16
2019-04-23,93,139,1077,15
2019-04-24,75,138,999,8
2019-04-25,119,128,1255,16
2019-04-26,63,94,408,12
2019-04-29,158,216,1836,13
2019-04-30,61,78,1210,18
2019-05-01,76,78,1316,6
2019-05-02,89,107,1317,9
2019-05-03,76,83,1966,8
2019-05-06,129,180,960,23
2019-05-07,107,94,922,15
2019-05-08,81,111,646,14
2019-05-09,93,121,947,10
2019-05-10,71,87,946,11
2019-05-13,64,47,633,6
2019-05-14,92,116,424,21
2019-05-15,156,135,1759,23
2019-05-16,66,90,1229,11
2019-05-17,92,94,2881,15
2019-05-20,52,44,601,5
2019-05-21,110,77,5582,14
2019-05-22,113,133,6887,10
2019-05-23,121,114,2920,16
2019-05-24,132,132,11066,21
2019-05-28,49,67,4911,9
2019-05-29,154,130,6795,19
